geography code,reception_4yrs_5yrs_old_% obese,reception_4yrs_5yrs_old_Number measured,reception_4yrs_5yrs_old_Number obese,year_6_10yrs_11yrs_old_% obese,year_6_10yrs_11yrs_old_Number measured,year_6_10yrs_11yrs_old_Number obese
E02000304,0.08085106382978724,235,19,0.165,200,33
E02000305,0.06944444444444445,288,20,0.1658291457286432,199,33
E02000306,0.1879049676025918,463,87,0.3161764705882353,408,129
E02000307,0.15384615384615385,390,60,0.25824175824175827,364,94
E02000308,0.1111111111111111,288,32,0.21621621621621623,222,48
E02000309,0.14444444444444443,540,78,0.25552825552825553,407,104
E02000311,0.12041884816753927,382,46,0.2768729641693811,307,85
E02000312,0.0695364238410596,302,21,0.21266968325791855,221,47
E02000313,0.16666666666666666,408,68,0.2689393939393939,264,71
E02000314,0.16932907348242812,939,159,0.2984014209591474,563,168
E02000315,0.17190388170055454,541,93,0.28921568627450983,408,118
E02000316,0.16576086956521738,368,61,0.2229965156794425,287,64
E02000317,0.1444954128440367,436,63,0.2577639751552795,322,83
E02000318,0.15254237288135594,413,63,0.24251497005988024,334,81
E02000319,0.12340425531914893,470,58,0.24271844660194175,309,75
E02000320,0.15759312320916904,349,55,0.28512396694214875,242,69
E02000321,0.16434540389972144,359,59,0.252,250,63
E02000323,0.15,560,84,0.2654639175257732,388,103
E02000324,0.13043478260869565,299,39,0.29365079365079366,252,74
E02000326,0.12658227848101267,316,40,0.22023809523809523,168,37
E02000327,0.12269938650306748,326,40,0.265625,256,68
E02000328,0.05,140,7,0.1926605504587156,109,21
E02000329,0.11864406779661017,236,28,0.24083769633507854,191,46
E02000331,0.13,300,39,0.25,228,57
E02000332,0.1357142857142857,280,38,0.21359223300970873,206,44
E02000333,0.08870967741935484,124,11,0.2608695652173913,69,18
E02000334,0.08438818565400844,237,20,0.23115577889447236,199,46
E02000335,0.06572769953051644,213,14,0.17553191489361702,188,33
E02000337,0.1268882175226586,331,42,0.22924901185770752,253,58
E02000339,0.07,200,14,0.1437125748502994,167,24
E02000340,0.12213740458015267,131,16,0.22033898305084745,118,26
E02000341,0.14204545454545456,352,50,0.2668918918918919,296,79
E02000342,0.1210762331838565,223,27,0.2597402597402597,154,40
E02000343,0.12682926829268293,205,26,0.2,190,38
E02000344,0.08152173913043478,184,15,0.23863636363636365,176,42
E02000345,0.12389380530973451,113,14,0.22608695652173913,115,26
E02000346,0.22535211267605634,213,48,0.3520408163265306,196,69
E02000347,0.14482758620689656,145,21,0.22549019607843138,102,23
E02000348,0.13304721030042918,233,31,0.28313253012048195,166,47
E02000350,0.088,250,22,0.20430107526881722,186,38
E02000351,0.10989010989010989,182,20,0.2653061224489796,147,39
E02000352,0.08287292817679558,181,15,0.22758620689655173,145,33
E02000353,0.08108108108108109,259,21,0.20212765957446807,188,38
E02000354,0.11080332409972299,361,40,0.25773195876288657,291,75
E02000355,0.05985915492957746,284,17,0.16990291262135923,206,35
E02000356,0.07468879668049792,241,18,0.11707317073170732,205,24
E02000357,0.16293929712460065,313,51,0.2805755395683453,278,78
E02000358,0.1305732484076433,314,41,0.27547169811320754,265,73
E02000359,0.125,256,32,0.22119815668202766,217,48
E02000360,0.14385150812064965,431,62,0.2849604221635884,379,108
E02000361,0.19523809523809524,210,41,0.2787878787878788,165,46
E02000362,0.1643835616438356,219,36,0.3037383177570093,214,65
E02000363,0.14759535655058043,603,89,0.26597938144329897,485,129
E02000364,0.10631229235880399,301,32,0.1992619926199262,271,54
E02000365,0.13551401869158877,214,29,0.2594594594594595,185,48
E02000366,0.1610738255033557,298,48,0.26778242677824265,239,64
E02000367,0.1467065868263473,334,49,0.28512396694214875,242,69
E02000368,0.10264900662251655,302,31,0.2618296529968454,317,83
E02000369,0.14786967418546365,399,59,0.32068965517241377,290,93
E02000370,0.1282051282051282,234,30,0.24017467248908297,229,55
E02000371,0.17647058823529413,289,51,0.31932773109243695,238,76
E02000372,0.12804878048780488,328,42,0.21843003412969283,293,64
E02000373,0.11320754716981132,318,36,0.26785714285714285,280,75
E02000374,0.09042553191489362,188,17,0.3076923076923077,156,48
E02000375,0.1,200,20,0.26,150,39
E02000376,0.1069182389937107,159,17,0.2948717948717949,156,46
E02000377,0.07853403141361257,191,15,0.20118343195266272,169,34
E02000378,0.06818181818181818,132,9,0.1919191919191919,99,19
E02000379,0.11822660098522167,203,24,0.17567567567567569,148,26
E02000380,0.03867403314917127,181,7,0.205607476635514,107,22
E02000381,0.04790419161676647,167,8,0.22340425531914893,94,21
E02000382,0.0851063829787234,188,16,0.16153846153846155,130,21
E02000383,0.15079365079365079,126,19,0.3125,112,35
