geography code,avg_num_bedrooms_per_household,pct_no_cars_or_vans,pct_1_cars_or_vans,pct_2_cars_or_vans,pct_3_cars_or_vans,pct_4_or_more_cars_or_vans,pct_no_deprivation_dimensions,pct_1_deprivation_dimensions,pct_2_deprivation_dimensions,pct_3_deprivation_dimensions,pct_4_deprivation_dimensions,employment_pct_part_time,employment_pct_full_time,employment_pct_students,employment_pct_self_employed,education_pct_no_qualification,education_pct_level_1_qualification,education_pct_level_2_qualification,education_pct_level_apprenticeship_qualification,education_pct_level_3_qualification,education_pct_level_4_qualification,employment_hours_worked_less_than_15_hrs,employment_hours_worked_between_16_and_30_hrs,employment_hours_worked_between_31_and_48_hrs,employment_hours_worked_less_than_49_or_more_hrs,population_density_persons_per_hectare,total_number_of_bedrooms,total_number_of_usual_residents,housing_type_pct_houses,housing_type_pct_flats,overcrowding_rate
E02004414,2.9,0.11166459111664591,0.41511000415110005,0.34537152345371525,0.09339975093399751,0.034454130344541305,0.5442092154420921,0.3046907430469074,0.1232876712328767,0.025736820257368204,0.0020755500207555004,0.22099125364431488,0.46122448979591835,0.030320699708454812,0.287463556851312,0.1606694560669456,0.14958158995815898,0.20188284518828453,0.030753138075313807,0.14414225941422595,0.2730125523012552,0.10772047604516326,0.19407995117485505,0.5578272810497407,0.14037229173024107,19.1,2409,5982,0.8694241686942417,0.1305758313057583,2.4831880448318806
E02004415,3.4,0.05337781484570475,0.3065054211843203,0.4278565471226022,0.13427856547122602,0.0779816513761468,0.5738115095913261,0.2956630525437865,0.11050875729774812,0.018765638031693076,0.0012510425354462051,0.2116461366181411,0.4337439343038447,0.03882045539380366,0.3157894736842105,0.14661354581673305,0.13207171314741037,0.17270916334661354,0.03187250996015936,0.12470119521912351,0.3565737051792829,0.1332470892626132,0.18369987063389392,0.4996765847347995,0.1833764553686934,0.7,2398,6149,0.9408926417370326,0.05910735826296743,2.5642201834862384
E02004416,3.0,0.08237476808905381,0.3447124304267161,0.37031539888682746,0.137291280148423,0.0653061224489796,0.4764378478664193,0.3435992578849722,0.14842300556586271,0.02857142857142857,0.002968460111317254,0.20683287165281625,0.3545706371191136,0.032317636195752536,0.40627885503231764,0.2006363466217481,0.13400711210930188,0.1744338386674153,0.03724499344937301,0.12689500280741156,0.28691746209994384,0.13106036909602753,0.20706912730685018,0.4579293087269315,0.2039411948701908,0.8,2695,6441,0.9478102189781021,0.05218978102189781,2.3899814471243044
E02004417,2.6,0.18055555555555555,0.4261904761904762,0.2972222222222222,0.06984126984126984,0.02619047619047619,0.40753968253968254,0.3615079365079365,0.2,0.02896825396825397,0.001984126984126984,0.3158813263525305,0.47324025596276903,0.04130308318789994,0.1695753344968005,0.24994700021199914,0.1511553953784185,0.1691753232987068,0.04748781004875981,0.12189951240195039,0.21623913504345982,0.10402165506573859,0.20843000773395204,0.5595514307811291,0.1279969064191802,10.3,2520,5630,0.8715211589782692,0.12847884102173085,2.234126984126984
E02004418,2.8,0.1808231173380035,0.4273204903677758,0.28546409807355516,0.07136602451838879,0.03502626970227671,0.38879159369527144,0.36120840630472856,0.20928196147110334,0.03677758318739054,0.00394045534150613,0.1782857142857143,0.6156190476190476,0.022476190476190476,0.18361904761904768,0.2670863309352518,0.16996402877697842,0.16928956834532374,0.044739208633093525,0.12005395683453238,0.18142985611510792,0.10496338486574451,0.23311635475996745,0.5390561432058584,0.12286411716842961,15.1,2284,5525,0.8495040965933592,0.1504959034066408,2.419001751313485
E02004419,2.6,0.25839061868176305,0.44723008491710475,0.2312980186008896,0.046906591184795794,0.016174686615446826,0.3238980994743227,0.3457339264051759,0.25960372017792155,0.06550748079255965,0.005256773150020219,0.2353909465020576,0.454320987654321,0.0205761316872428,0.2897119341563785,0.3344902386117137,0.16616052060737527,0.16268980477223427,0.031236442516268982,0.09913232104121475,0.15986984815618221,0.09809725158562368,0.25158562367864695,0.5289640591966174,0.12135306553911206,6.4,2473,5931,0.8627287853577371,0.13727121464226288,2.398301657905378
E02004420,3.0,0.09741550695825049,0.42301745085045284,0.34702893748619396,0.09056770488182019,0.041970399823282524,0.48288049480892425,0.3445990722332671,0.14976805831676607,0.021647890435166777,0.001104484205875856,0.19350109943806498,0.47935499633520645,0.04666503786953335,0.2804788663571952,0.2060205908683975,0.1219785138764548,0.1674127126230976,0.03760071620411817,0.1157117278424351,0.3058415398388541,0.1275825346112886,0.20851970181043664,0.4941427050053248,0.16975505857294995,0.9,4527,10519,0.955237446034992,0.04476255396500795,2.323613872321626
E02004421,2.4,0.242806248287202,0.4721841600438476,0.2173198136475747,0.04741024938339271,0.020279528637983008,0.35434365579610855,0.3655796108522883,0.23787338996985474,0.03918881885448068,0.0030145245272677444,0.25,0.42996108949416345,0.0311284046692607,0.28891050583657585,0.3107137398746752,0.14121962402567628,0.16032401039278618,0.03943145346171481,0.1082072443833104,0.1918080391257833,0.11017204950196197,0.20947781466948384,0.5584062782976155,0.12194385753093873,10.9,3649,7655,0.8295574288724974,0.17044257112750263,2.0978350232940532
E02004422,2.8,0.12266666666666666,0.4450909090909091,0.32775757575757575,0.07539393939393939,0.02909090909090909,0.4281212121212121,0.34715151515151516,0.19127272727272726,0.032484848484848484,0.0009696969696969697,0.20893141945773525,0.4405901116427432,0.03070175438596491,0.3197767145135566,0.23950870010235414,0.14675025588536336,0.17668884339815763,0.045547594677584444,0.11067041965199591,0.2356704196519959,0.10483496048349605,0.2284983728498373,0.5241748024174803,0.14249186424918642,3.0,4125,9467,0.9082379862700228,0.09176201372997711,2.295030303030303
E02004423,2.6,0.16913861950941245,0.46919566457501427,0.2786651454649173,0.06160867084997148,0.02139189960068454,0.4087278950370793,0.3690815744438106,0.19737592698231604,0.022818026240730177,0.0019965772960638907,0.24351978171896316,0.3553888130968622,0.034106412005457026,0.3669849931787176,0.2592476489028213,0.12899686520376175,0.16316614420062697,0.050940438871473356,0.10705329153605016,0.2449843260188088,0.12710805746408493,0.2192379762648345,0.5215490318550906,0.13210493441599,6.9,3506,7440,0.9177092021128719,0.08229079788712816,2.1220764403879064
